host_chr	host_pos	host_strand	virus_chr	virus_pos	virus_strand	support_reads	sample
chr2	153658943	*	HBV	3069	-	40	N
chr2	163233294	*	HBV	389	-	99	N
chr2	178880099	*	HBV	1741	-	29	T
chr2	186143985	*	HBV	773	-	130	N
chr2	195950204	*	HBV	2422	-	170	T
chr2	196409617	*	HBV	1953	+	594	T
chr2	202735641	*	HBV	1407	+	53	N
chr2	203205658	*	HBV	1359	+	1100	T
chr2	203363277	*	HBV	1113	+	337	T
chr2	203476125	*	HBV	2966	+	41	N
chr2	204516857	*	HBV	1426	-	44	T
chr2	204595746	*	HBV	681	-	200	N
chr2	204808326	*	HBV	2369	+	130	T
chr2	207587686	*	HBV	2852	+	386	N
chr2	209373642	*	HBV	3107	+	50	N
chr2	210463775	*	HBV	1895	-	249	T
chr2	212006783	*	HBV	2940	-	239	N
chr2	214259491	*	HBV	1772	+	46	T
chr2	223861263	*	HBV	1637	-	537	N
chr2	226435129	*	HBV	1213	+	43	N
chr2	227939072	*	HBV	1264	-	140	N
chr2	234241908	*	HBV	3130	+	288	N
chr3	13721348	*	HBV	447	+	184	T
chr3	22031650	*	HBV	1273	-	257	N
chr3	25883025	*	HBV	688	-	1485	T
chr3	33276333	*	HBV	3077	-	81	N
chr3	34475898	*	HBV	1484	-	515	N
chr3	38706567	*	HBV	882	-	57	N
chr3	39676717	*	HBV	2913	+	27	N
chr3	44124316	*	HBV	2885	-	43	N
chr3	49431580	*	HBV	516	-	118	N
chr3	72491106	*	HBV	1232	-	176	N
chr3	79131042	*	HBV	2922	+	120	T
chr3	79826012	*	HBV	2980	-	8	N
chr3	84696102	*	HBV	2563	-	43	N
chr3	93083854	*	HBV	816	-	23	T
chr3	94818016	*	HBV	1711	-	59	N
chr3	95440682	*	HBV	2091	+	773	T
chr3	96396822	*	HBV	1898	+	576	N
chr3	99071620	*	HBV	2400	+	302	T
chr3	100075064	*	HBV	2930	-	56	N
chr3	100524970	*	HBV	367	+	26	N
chr3	101212307	*	HBV	1176	-	11	N
chr3	103020009	*	HBV	847	-	100	T
chr3	103893728	*	HBV	1137	+	16	T
chr3	104426512	*	HBV	1760	-	54	T
chr3	104875273	*	HBV	593	+	230	N
chr3	105283026	*	HBV	2466	-	193	N
chr3	106314011	*	HBV	1272	-	138	N
chr3	106774618	*	HBV	633	-	40	N
chr3	106990773	*	HBV	616	-	24	T
chr3	107003483	*	HBV	3178	+	34	T
chr3	112106291	*	HBV	2535	+	30	T
chr3	112861338	*	HBV	719	-	49	N
chr3	116620577	*	HBV	2885	-	284	T
chr3	127093287	*	HBV	2411	+	19	N
chr3	129409860	*	HBV	496	+	100	T
chr3	130641557	*	HBV	1044	+	24	T
chr3	139054928	*	HBV	1827	-	105	T
chr3	157278743	*	HBV	2607	+	73	N
chr4	11374565	*	HBV	1445	+	1011	N
chr4	18356892	*	HBV	633	+	78	N
chr4	25241322	*	HBV	2088	-	720	N
chr4	32491493	*	HBV	1871	-	92	T
chr4	38023022	*	HBV	429	-	38	T
chr4	92007321	*	HBV	1483	-	36	N
chr4	92956294	*	HBV	2414	-	59	N
chr4	94969696	*	HBV	1362	-	17	N
chr4	95345331	*	HBV	2117	+	1264	T
chr4	110317880	*	HBV	1388	-	449	N
chr4	111680854	*	HBV	851	+	650	T
chr4	113309462	*	HBV	522	+	20	N
chr4	113688502	*	HBV	1341	+	47	T
chr4	140815679	*	HBV	1994	+	129	N
chr4	144525879	*	HBV	1702	+	42	N
chr4	157857930	*	HBV	3215	-	154	N
chr4	183671129	*	HBV	2537	-	95	N
chr5	8466321	*	HBV	1809	+	830	T
chr5	33537411	*	HBV	1445	-	137	N
chr5	36575725	*	HBV	1314	-	18	T
chr5	41192773	*	HBV	2459	-	238	T
chr5	41932667	*	HBV	1452	+	172	T
chr5	43432121	*	HBV	547	+	900	N
chr5	47514475	*	HBV	848	-	35	N
chr5	59028422	*	HBV	1026	+	536	T
chr5	69589813	*	HBV	2600	-	34	T
chr5	70828646	*	HBV	18	-	247	T
chr5	73211411	*	HBV	2589	-	104	N
chr5	75094803	*	HBV	2927	+	48	N
chr5	75617371	*	HBV	1743	+	50	N
chr5	76624580	*	HBV	1438	-	94	T
chr5	76746480	*	HBV	2808	+	37	T
chr5	78626605	*	HBV	2720	-	13	N
chr5	79943472	*	HBV	3163	+	17	T
chr5	80072209	*	HBV	1972	-	84	N
chr5	81814886	*	HBV	2108	-	211	N
chr5	83047005	*	HBV	2309	+	37	N
chr5	84949388	*	HBV	3122	+	48	N
chr5	103696913	*	HBV	2675	+	28	N
chr5	103967572	*	HBV	1262	+	68	T
chr5	107829763	*	HBV	2045	-	73	N
chr5	110095215	*	HBV	740	-	237	T
chr5	114276008	*	HBV	2193	-	40	T
chr5	130182224	*	HBV	1941	+	90	N
chr5	136396834	*	HBV	1848	-	84	N
chr5	154433796	*	HBV	1246	+	136	N
chr5	154700926	*	HBV	2842	-	5	N
chr5	155880629	*	HBV	1154	-	74	N
chr5	156634581	*	HBV	2101	+	237	N
chr5	157327738	*	HBV	3124	+	68	T
chr5	158233423	*	HBV	2528	-	15	T
chr5	158777041	*	HBV	2448	+	126	T
chr5	159271269	*	HBV	600	-	51	N
chr5	159592604	*	HBV	1174	+	104	N
chr5	164807710	*	HBV	1082	+	42	T
chr6	34486852	*	HBV	2120	-	15	T
chr6	35209897	*	HBV	1790	-	22	T
chr6	35322231	*	HBV	2959	+	55	T
chr6	38666148	*	HBV	758	-	22	T
chr6	121669716	*	HBV	1879	-	113	N
chr6	145138435	*	HBV	2234	-	724	N
chr6	157671821	*	HBV	1862	-	54	T
chr7	9074914	*	HBV	2309	-	246	T
chr7	13017825	*	HBV	2562	+	45	T
chr7	15667092	*	HBV	1980	-	31	T
chr7	16762799	*	HBV	409	+	57	T
chr7	16982020	*	HBV	2796	-	48	N
chr7	17473691	*	HBV	1804	-	58	T
chr7	17753047	*	HBV	1447	+	149	T
chr7	23332515	*	HBV	2241	+	186	N
chr7	24105169	*	HBV	459	-	12	N
chr7	25260909	*	HBV	1369	-	210	T
chr7	26069296	*	HBV	730	-	96	T
chr7	26129520	*	HBV	317	+	51	T
chr7	26400535	*	HBV	1410	-	3	N
chr7	30210773	*	HBV	2948	-	41	T
chr7	41242279	*	HBV	3184	+	5	N
chr7	42192930	*	HBV	1295	-	301	T
chr7	61838762	*	HBV	3063	+	22	N
chr7	83525361	*	HBV	413	-	67	N
chr7	93772649	*	HBV	1345	-	178	N
chr7	95490607	*	HBV	1274	+	108	N
chr7	114694423	*	HBV	107	-	12	N
chr7	118046654	*	HBV	2578	-	48	T
chr7	147569954	*	HBV	880	-	18	T
chr8	1304168	*	HBV	2802	-	107	N
chr8	8484657	*	HBV	1173	-	176	T
chr8	22730494	*	HBV	3021	+	215	N
chr8	25650756	*	HBV	674	-	63	N
chr8	36674513	*	HBV	2565	-	112	T
chr8	38816220	*	HBV	1665	+	47	N
chr8	43748036	*	HBV	572	-	368	N
chr8	44078296	*	HBV	1889	+	402	N
chr8	46216113	*	HBV	1264	-	118	T
chr8	47452883	*	HBV	2035	+	73	T
chr8	48710912	*	HBV	3163	+	170	N
chr8	48774983	*	HBV	2218	-	252	T
chr8	51082908	*	HBV	2027	-	58	N
chr8	51117857	*	HBV	2539	-	94	N
chr8	55875317	*	HBV	2696	+	565	T
chr8	80442063	*	HBV	3027	-	27	T
chr8	81731332	*	HBV	1818	-	252	T
chr8	82093708	*	HBV	665	-	54	N
chr8	82840926	*	HBV	1172	-	34	N
chr8	84588162	*	HBV	1158	-	184	T
chr8	89297639	*	HBV	2021	+	32	T
chr8	95925797	*	HBV	2218	+	231	N
chr8	106172885	*	HBV	1183	-	41	N
chr8	107750692	*	HBV	1769	+	798	T
chr8	108768772	*	HBV	850	-	43	T
chr8	111575989	*	HBV	1850	-	316	N
chr8	123161557	*	HBV	1987	+	55	T
chr8	125750351	*	HBV	982	+	121	T
chr9	456199	*	HBV	1942	-	32	T
chr9	24762768	*	HBV	3038	-	112	T
chr9	47515485	*	HBV	2877	-	82	T
chr9	53388212	*	HBV	407	+	86	N
chr9	53735814	*	HBV	568	-	152	T
chr9	54976875	*	HBV	1417	+	3594	T
chr9	60350211	*	HBV	1908	-	91	N
chr9	84514780	*	HBV	2373	-	1606	N
chr9	93315086	*	HBV	445	-	7	T
chr9	95714369	*	HBV	631	-	39	T
chr9	98529968	*	HBV	1960	+	44	N
chr9	98812642	*	HBV	627	-	149	T
chr9	99501621	*	HBV	300	-	132	N
chr9	104387427	*	HBV	1770	-	238	T
chr9	109398571	*	HBV	1784	+	76	T
chr9	111206477	*	HBV	887	+	51	T
chr9	112921065	*	HBV	2649	-	335	N
chr9	116058004	*	HBV	2604	-	53	N
chr9	118050481	*	HBV	1304	+	728	N
chr9	118583402	*	HBV	839	-	46	N
chr9	120536382	*	HBV	821	-	889	T
chr9	120582084	*	HBV	1714	-	25	T
chr9	122772872	*	HBV	2971	+	145	N
chr9	130428441	*	HBV	1878	-	274	T
chr10	5511200	*	HBV	2123	-	191	N
chr10	6016491	*	HBV	2594	-	37	T
chr10	41637757	*	HBV	1037	-	280	T
chr10	56650602	*	HBV	295	-	211	N
chr10	77858769	*	HBV	459	+	92	N
chr10	84772708	*	HBV	810	+	31	N
chr10	87581723	*	HBV	1116	-	305	T
chr10	126746373	*	HBV	3140	+	53	N
chr11	27394733	*	HBV	1985	-	10	N
chr11	29551412	*	HBV	770	+	7	T
chr11	29596390	*	HBV	2191	-	158	T
chr11	30837247	*	HBV	2594	-	26	T
chr11	33405514	*	HBV	394	+	55	T
chr11	34107868	*	HBV	2522	+	219	T
chr11	58472293	*	HBV	2440	-	27	N
chr11	66334465	*	HBV	1521	-	7	T
chr11	98884590	*	HBV	2938	-	80	T
chr11	99378795	*	HBV	3042	-	207	T
chr11	101374806	*	HBV	3080	+	6	N
chr11	113365461	*	HBV	1928	-	69	N
chr11	115547890	*	HBV	1767	-	287	N
chr11	116505729	*	HBV	1877	-	154	T
chr11	119549769	*	HBV	381	+	112	N
chr11	130086908	*	HBV	3069	+	179	N
chr12	12767341	*	HBV	585	+	76	T
chr12	16320878	*	HBV	590	-	331	N
chr12	18546956	*	HBV	2423	+	170	T
chr12	20189327	*	HBV	1849	-	109	T
chr12	20849531	*	HBV	1960	+	100	N
chr12	21834056	*	HBV	2471	-	296	T
chr12	25608919	*	HBV	795	-	33	N
chr12	26428856	*	HBV	1732	+	5	T
chr12	27274157	*	HBV	2159	-	43	T
chr12	33555567	*	HBV	667	-	94	N
chr12	33812868	*	HBV	1817	-	176	N
chr12	42034955	*	HBV	2715	-	23	T
chr12	47335944	*	HBV	543	-	500	T
chr12	51690945	*	HBV	803	-	36	T
chr12	57845276	*	HBV	2975	-	182	N
chr12	77704703	*	HBV	34	-	83	N
chr12	112375859	*	HBV	2216	-	231	T
chr12	115085065	*	HBV	1692	-	36	N
chr12	116208978	*	HBV	783	-	27	T
chr12	117817313	*	HBV	175	-	162	T
chr12	118138440	*	HBV	2929	+	142	N
chr13	4697676	*	HBV	1296	-	44	N
chr13	5760109	*	HBV	3095	-	188	N
chr13	6227370	*	HBV	2182	+	161	T
chr13	6728978	*	HBV	664	-	24	N
chr13	7846266	*	HBV	363	-	61	N
chr13	26774655	*	HBV	770	-	58	T
chr13	28591230	*	HBV	1016	+	26	N
chr13	32210034	*	HBV	584	+	48	N
chr13	79582182	*	HBV	1675	+	44	T
chr13	87222831	*	HBV	524	+	74	N
chr13	113701864	*	HBV	2488	+	100	N
chr14	18397770	*	HBV	1746	+	30	T
chr14	25778354	*	HBV	2691	-	56	T
chr14	26096145	*	HBV	2523	+	25	N
chr14	26234886	*	HBV	2492	-	159	N
chr14	26583453	*	HBV	823	+	1331	T
chr14	27179904	*	HBV	2220	+	92	N
chr14	32745306	*	HBV	2398	-	492	N
chr14	41836838	*	HBV	1813	+	46	N
chr14	41883560	*	HBV	3115	+	131	T
chr14	42256558	*	HBV	1091	-	126	T
chr14	42393787	*	HBV	1789	-	210	T
chr14	64998034	*	HBV	2893	-	80	T
chr14	70556114	*	HBV	2005	+	136	T
chr14	96896147	*	HBV	2592	-	42	N
chr15	5650881	*	HBV	2942	-	33	N
chr15	14493342	*	HBV	1342	-	6370	T
chr15	37243101	*	HBV	2084	-	1424	T
chr15	47454783	*	HBV	544	-	134	T
chr15	48430293	*	HBV	2124	-	120	T
chr15	48473960	*	HBV	2601	+	117	T
chr15	50752889	*	HBV	671	-	247	N
chr15	58445721	*	HBV	1402	+	42	N
chr15	62012005	*	HBV	2189	+	10	T
chr15	64564398	*	HBV	2716	-	243	T
chr15	65370749	*	HBV	1787	-	79	T
chr15	69064502	*	HBV	2908	+	32	N
chr15	69236904	*	HBV	3152	+	150	T
chr15	81232489	*	HBV	2954	-	15	T
chr15	97888917	*	HBV	1199	-	54	N
chr16	30970453	*	HBV	2875	+	16	T
chr16	32779527	*	HBV	1240	-	45	N
chr16	39133955	*	HBV	710	-	2453	T
chr16	48744942	*	HBV	1727	-	91	N
chr16	52903949	*	HBV	1151	-	429	N
chr16	72593766	*	HBV	680	-	137	N
chr16	74731370	*	HBV	2366	-	32	N
chr16	79119749	*	HBV	715	+	205	N
chr16	79176017	*	HBV	545	-	49	N
chr16	79281708	*	HBV	1269	+	44	N
chr16	79380815	*	HBV	2567	-	105	N
chr16	79779071	*	HBV	1294	-	123	T
chr16	80175442	*	HBV	3143	-	1047	T
chr17	11141982	*	HBV	1573	-	162	T
chr17	11524504	*	HBV	833	+	92	T
chr17	44438751	*	HBV	529	-	79	N
chr17	60338247	*	HBV	2176	-	1009	T
chr17	63418280	*	HBV	2107	+	26	N
chr17	70768128	*	HBV	1733	-	47	N
chr17	75611159	*	HBV	2572	-	210	N
chr17	76540501	*	HBV	1167	+	57	N
chr18	10820526	*	HBV	2995	-	290	N
chr18	10851973	*	HBV	2682	-	99	T
chr18	13075715	*	HBV	879	-	30	N
chr18	13518561	*	HBV	2066	-	70	T
chr18	14126531	*	HBV	163	-	81	N
chr18	16374960	*	HBV	2420	-	134	N
chr18	21241346	*	HBV	1091	-	126	T
chr18	21732028	*	HBV	2694	-	113	N
chr18	21959416	*	HBV	566	+	450	N
chr18	23190680	*	HBV	2891	-	91	N
chr18	42423298	*	HBV	738	-	59	T
chr18	49834400	*	HBV	2617	-	848	T
chr18	55046283	*	HBV	502	+	928	T
chr18	59616955	*	HBV	374	+	39	T
chr19	2271567	*	HBV	1185	-	191	N
chr19	2472749	*	HBV	2891	-	134	N
chr19	3279965	*	HBV	2681	-	21	T
chr19	4185103	*	HBV	1294	-	551	T
chr19	4709626	*	HBV	594	-	85	T
chr19	4917618	*	HBV	2638	-	223	N
chr19	5009935	*	HBV	1931	-	117	N
chr19	5235178	*	HBV	3158	-	50	N
chr19	5379588	*	HBV	3020	-	81	N
chr19	5776520	*	HBV	1678	-	88	N
chr19	6264805	*	HBV	1039	+	14	T
chr19	10535927	*	HBV	748	-	756	N
chr19	10754004	*	HBV	1963	-	131	T
chr19	11830030	*	HBV	1842	+	44	T
chr19	15110083	*	HBV	2003	+	14	N
chr19	22310757	*	HBV	2110	+	13	N
chr19	24128058	*	HBV	1929	-	166	N
chr19	24479678	*	HBV	3064	-	67	T
chr19	24689270	*	HBV	2544	-	52	T
chr19	25102257	*	HBV	511	-	500	T
chr19	25288685	*	HBV	2897	-	39	N
chr19	25560426	*	HBV	2837	+	27	T
chr19	25857359	*	HBV	1239	-	273	N
chr19	25972597	*	HBV	1160	-	221	N
chr19	26535974	*	HBV	1162	+	114	N
chr19	26731559	*	HBV	642	-	222	T
chr19	48879237	*	HBV	2316	+	82	N
chr19	50985854	*	HBV	1922	+	349	T
chr19	52996357	*	HBV	2750	+	45	N
chr19	54393987	*	HBV	588	-	9	N
chr19	54510160	*	HBV	2544	-	77	N
chr19	58261027	*	HBV	2165	-	99	T
chr20	32902224	*	HBV	1224	-	71	N
chr20	39878837	*	HBV	709	+	18	N
chr20	42632243	*	HBV	2976	-	370	T
chr20	46874449	*	HBV	502	-	57	N
chr20	47485557	*	HBV	2179	-	17	T
chr20	48377286	*	HBV	1904	-	138	T
chr20	49132948	*	HBV	425	-	36	N
chr20	51946352	*	HBV	1093	-	47	T
chr20	55313827	*	HBV	352	+	1560	N
chr20	56516817	*	HBV	1225	-	96	T
chr20	56840456	*	HBV	1479	-	147	T
chr21	693177	*	HBV	1401	+	135	T
chr21	25314682	*	HBV	2151	-	47	T
chr21	27912486	*	HBV	1464	+	138	T
chr21	28812021	*	HBV	3149	+	164	N
chr21	29293389	*	HBV	2935	-	120	T
chr21	38901295	*	HBV	484	+	499	T
chr21	41611917	*	HBV	1285	-	61	N
chr21	42603926	*	HBV	1446	+	95	T
chr22	4928971	*	HBV	2804	-	53	N
chr22	6202146	*	HBV	74	+	33	T
chr22	6236970	*	HBV	762	-	298	N
chr22	6593628	*	HBV	569	+	37	N
chr22	16592525	*	HBV	1459	+	71	T
chr22	16906168	*	HBV	1663	-	26	N
chr22	18422122	*	HBV	2120	+	193	N
chr22	38774543	*	HBV	2516	-	93	N
chr22	39818805	*	HBV	1239	+	1020	N
chr22	46797907	*	HBV	490	-	65	T
chr22	49621549	*	HBV	1306	-	96	N
chrX	6470702	*	HBV	578	-	223	T
chrX	21538642	*	HBV	2997	+	196	T
chrX	32307360	*	HBV	1211	-	764	T
chrX	46524111	*	HBV	765	-	108	T
chrX	51488821	*	HBV	1913	+	330	N
chrX	73783980	*	HBV	2209	+	65	T
chrX	75027852	*	HBV	2378	+	26	T
chrX	77006985	*	HBV	2958	+	52	T
chrX	77661271	*	HBV	2178	+	46	T
chrX	78096978	*	HBV	787	+	99	N
chrX	79643843	*	HBV	1697	-	405	T
chrX	80333481	*	HBV	3050	-	168	N
chrX	84165093	*	HBV	1173	-	125	N
chrX	87684531	*	HBV	644	-	357	N
chrX	89019415	*	HBV	1008	-	40	T
chrX	89224978	*	HBV	1016	-	58	N
chrX	89514302	*	HBV	1175	+	91	N
chrX	92369259	*	HBV	781	-	67	T
chrX	93551326	*	HBV	1656	-	18	N
chrX	94003067	*	HBV	1746	+	62	T
chrX	106009063	*	HBV	2471	-	150	T
chrX	107996260	*	HBV	1785	-	72	N
chrX	113026595	*	HBV	1794	+	81	N
chrX	132420332	*	HBV	536	+	194	T
chrX	132782803	*	HBV	828	-	280	N
chrX	135919920	*	HBV	1253	+	20	T
chrX	148459681	*	HBV	488	+	891	N
chrX	153241974	*	HBV	1051	-	50	T
chrY	17211978	*	HBV	1694	+	9	T
chrY	26295790	*	HBV	553	-	25	N
chrY	28068049	*	HBV	2845	-	971	N
chrY	28651018	*	HBV	1627	+	39	N
chrY	29099689	*	HBV	1238	+	89	T
chrY	39904522	*	HBV	2349	-	25	T
chrY	40361934	*	HBV	318	+	42	N
chrY	52966405	*	HBV	2547	-	88	N
chrY	54897030	*	HBV	1404	-	27	T
